exercise name,type of activity,type of equipment,body part,type,muscle groups activated,instruction
Decline Lat Pulldown,warm-up,smith machine,core,push,"obliques, abs, lower back","Decline Lat Pulldown: Setup — Use smith machine. Focus on push movement for core. Engage obliques, abs, lower back. Control breathing."
Seated Push-Up,cardio,dip belt,full body,stretch,"chest, core, back","Seated Push-Up: Setup — Use dip belt. Focus on stretch movement for full body. Engage chest, core, back. Control breathing."
Farmer Carry Twist,mobility,jump rope,upper,hold,"triceps, traps, biceps","Farmer Carry Twist: Setup — Use jump rope. Focus on hold movement for upper. Engage triceps, traps, biceps. Control breathing."
Bicep Curl March,warm-up,dip belt,full body,push,"legs, chest, core","Bicep Curl March: Setup — Use dip belt. Focus on push movement for full body. Engage legs, chest, core. Control breathing."
Rotational Leg Press,strength,cable machine,lower,hold,"hamstrings, glutes, quads","Rotational Leg Press: Setup — Use cable machine. Focus on hold movement for lower. Engage hamstrings, glutes, quads. Control breathing."
Single-Leg Lat Pulldown March,warm-up,rower,lower,stretch,"quads, glutes, hamstrings","Single-Leg Lat Pulldown March: Setup — Use rower. Focus on stretch movement for lower. Engage quads, glutes, hamstrings. Control breathing."
Paused Glute Bridge Reach,strength,dumbbells,full body,stretch,"core, chest, back","Paused Glute Bridge Reach: Setup — Use dumbbells. Focus on stretch movement for full body. Engage core, chest, back. Control breathing."
Rotational Pull-Up Pulse,cardio,bike,core,stretch,"lower back, obliques, abs","Rotational Pull-Up Pulse: Setup — Use bike. Focus on stretch movement for core. Engage lower back, obliques, abs. Control breathing."
Calf Raise Raise,warm-up,bodyweight,upper,push,"lats, biceps, forearms","Calf Raise Raise: Setup — Use bodyweight. Focus on push movement for upper. Engage lats, biceps, forearms. Control breathing."
Explosive Side Plank Iso,strength,cable machine,upper,push,"forearms, traps, biceps","Explosive Side Plank Iso: Setup — Use cable machine. Focus on push movement for upper. Engage forearms, traps, biceps. Control breathing."
Dips Pulse,mobility,treadmill,core,pull,"obliques, lower back, abs","Dips Pulse: Setup — Use treadmill. Focus on pull movement for core. Engage obliques, lower back, abs. Control breathing."
Lunge Variation,cardio,barbells,full body,hold,"back, core, chest","Lunge Variation: Setup — Use barbells. Focus on hold movement for full body. Engage back, core, chest. Control breathing."
Rotational Front Raise Hold,warm-up,bike,lower,pull,"quads, hamstrings, calves","Rotational Front Raise Hold: Setup — Use bike. Focus on pull movement for lower. Engage quads, hamstrings, calves. Control breathing."
Dynamic Mountain Climber Combo,cardio,dip belt,core,stretch,"abs, lower back, obliques","Dynamic Mountain Climber Combo: Setup — Use dip belt. Focus on stretch movement for core. Engage abs, lower back, obliques. Control breathing."
Standing Chest Fly,strength,assisted machine,upper,pull,"traps, forearms, chest","Standing Chest Fly: Setup — Use assisted machine. Focus on pull movement for upper. Engage traps, forearms, chest. Control breathing."
Copenhagen Running Twist,warm-up,jump rope,full body,push,"core, legs, back","Copenhagen Running Twist: Setup — Use jump rope. Focus on push movement for full body. Engage core, legs, back. Control breathing."
B-Stance Tricep Extension,mobility,pull-up bar,upper,push,"chest, deltoids, traps","B-Stance Tricep Extension: Setup — Use pull-up bar. Focus on push movement for upper. Engage chest, deltoids, traps. Control breathing."
Copenhagen Rowing,warm-up,bike,upper,stretch,"lats, chest, traps","Copenhagen Rowing: Setup — Use bike. Focus on stretch movement for upper. Engage lats, chest, traps. Control breathing."
Squat March,cardio,rower,full body,stretch,"chest, back, legs","Squat March: Setup — Use rower. Focus on stretch movement for full body. Engage chest, back, legs. Control breathing."
Tall-Kneeling Lunge Variation,cardio,kettlebells,core,pull,"lower back, obliques, abs","Tall-Kneeling Lunge Variation: Setup — Use kettlebells. Focus on pull movement for core. Engage lower back, obliques, abs. Control breathing."
Seated Front Raise Twist,strength,jump rope,full body,stretch,"chest, core, legs","Seated Front Raise Twist: Setup — Use jump rope. Focus on stretch movement for full body. Engage chest, core, legs. Control breathing."
Isometric Dips,warm-up,rings,lower,push,"quads, hamstrings, calves","Isometric Dips: Setup — Use rings. Focus on push movement for lower. Engage quads, hamstrings, calves. Control breathing."
Tall-Kneeling Row,cardio,rings,upper,stretch,"traps, biceps, chest","Tall-Kneeling Row: Setup — Use rings. Focus on stretch movement for upper. Engage traps, biceps, chest. Control breathing."
Dynamic Bicep Curl,warm-up,dip belt,full body,hold,"legs, back, core","Dynamic Bicep Curl: Setup — Use dip belt. Focus on hold movement for full body. Engage legs, back, core. Control breathing."
Dynamic Tricep Extension,mobility,dumbbells,upper,hold,"chest, forearms, deltoids","Dynamic Tricep Extension: Setup — Use dumbbells. Focus on hold movement for upper. Engage chest, forearms, deltoids. Control breathing."
Seated Calf Raise Hold,cardio,bodyweight,core,stretch,"abs, obliques, lower back","Seated Calf Raise Hold: Setup — Use bodyweight. Focus on stretch movement for core. Engage abs, obliques, lower back. Control breathing."
Deficit Step-Up,mobility,jump rope,upper,stretch,"biceps, traps, chest","Deficit Step-Up: Setup — Use jump rope. Focus on stretch movement for upper. Engage biceps, traps, chest. Control breathing."
Copenhagen Glute Bridge,warm-up,jump rope,full body,push,"back, core, legs","Copenhagen Glute Bridge: Setup — Use jump rope. Focus on push movement for full body. Engage back, core, legs. Control breathing."
Incline Mountain Climber Reach,cardio,bodyweight,lower,stretch,"calves, hamstrings, quads","Incline Mountain Climber Reach: Setup — Use bodyweight. Focus on stretch movement for lower. Engage calves, hamstrings, quads. Control breathing."
Isometric Chin-Up Twist,mobility,rings,core,pull,"lower back, obliques, abs","Isometric Chin-Up Twist: Setup — Use rings. Focus on pull movement for core. Engage lower back, obliques, abs. Control breathing."
Wide-Grip Leg Press Variation,cardio,pull-up bar,core,push,"abs, lower back, obliques","Wide-Grip Leg Press Variation: Setup — Use pull-up bar. Focus on push movement for core. Engage abs, lower back, obliques. Control breathing."
Rotational Tricep Extension,warm-up,bike,lower,push,"glutes, quads, calves","Rotational Tricep Extension: Setup — Use bike. Focus on push movement for lower. Engage glutes, quads, calves. Control breathing."
B-Stance Overhead Press,mobility,rower,lower,stretch,"quads, glutes, calves","B-Stance Overhead Press: Setup — Use rower. Focus on stretch movement for lower. Engage quads, glutes, calves. Control breathing."
Feet-Elevated Jumping Jack Series,mobility,treadmill,full body,hold,"core, back, legs","Feet-Elevated Jumping Jack Series: Setup — Use treadmill. Focus on hold movement for full body. Engage core, back, legs. Control breathing."
Dynamic Lunge Raise,mobility,rings,lower,push,"hamstrings, calves, quads","Dynamic Lunge Raise: Setup — Use rings. Focus on push movement for lower. Engage hamstrings, calves, quads. Control breathing."
Lat Pulldown Raise,mobility,pull-up bar,lower,stretch,"quads, calves, hamstrings","Lat Pulldown Raise: Setup — Use pull-up bar. Focus on stretch movement for lower. Engage quads, calves, hamstrings. Control breathing."
Jump Rope Variation,mobility,rings,lower,hold,"hamstrings, glutes, quads","Jump Rope Variation: Setup — Use rings. Focus on hold movement for lower. Engage hamstrings, glutes, quads. Control breathing."
Wide-Grip Overhead Press Combo,warm-up,bike,full body,push,"core, back, legs","Wide-Grip Overhead Press Combo: Setup — Use bike. Focus on push movement for full body. Engage core, back, legs. Control breathing."
Rowing Hold,cardio,kettlebells,core,pull,"abs, obliques, lower back","Rowing Hold: Setup — Use kettlebells. Focus on pull movement for core. Engage abs, obliques, lower back. Control breathing."
Lunge Twist,warm-up,dumbbells,lower,pull,"quads, hamstrings, calves","Lunge Twist: Setup — Use dumbbells. Focus on pull movement for lower. Engage quads, hamstrings, calves. Control breathing."
Wide-Grip Jump Rope Pulse,warm-up,cable machine,lower,stretch,"hamstrings, quads, glutes","Wide-Grip Jump Rope Pulse: Setup — Use cable machine. Focus on stretch movement for lower. Engage hamstrings, quads, glutes. Control breathing."
Decline Squat Rotation,mobility,dip belt,lower,hold,"calves, hamstrings, glutes","Decline Squat Rotation: Setup — Use dip belt. Focus on hold movement for lower. Engage calves, hamstrings, glutes. Control breathing."
Standing Rowing Series,warm-up,barbells,lower,push,"quads, calves, hamstrings","Standing Rowing Series: Setup — Use barbells. Focus on push movement for lower. Engage quads, calves, hamstrings. Control breathing."
